Peabody Museum of Archaeology & Ethnology,11 Divinity Ave., Baldwin neighborhood near Harvard Square,Cambridge ,,,
Pearl Street Studios,226 Pearl St., Winter Hill neighborhood,Somerville,,,
Pemberton Farms,2225 Massachusetts Ave.,,North Cambridge,,,
Perry Park,355 Washington St.,,Somerville,,,
Phillips Auditorium,60 Garden St.,about 1 mile west of Harvard Square,Cambridge ,,,
Phoenix Landing,512 Massachusetts Ave.,Central Square,Cambridge ,,,
Pink Noise Studios,15 Ward St.,,East Somerville,,,
Pisani Center,131 Washington St.,The Port,Cambridge ,,,
Pit,1400 Chester Square in Harvard Square,,Cambridge ,,,
P.J. Ryan’s,239 Holland St.,Teele Square,Somerville,,,
Planet Records,144 Mount Auburn St.,Harvard Square,Cambridge ,,,
The Plaza,1 Oxford St.,next to Memorial Hall near Harvard Square,Cambridge ,,,
Plough & Stars,912 Massachusetts Ave.,Riverside,Cambridge,,,
Cambridge Police Department, Robert W. Healy Public Safety Facility at 125 Sixth St.,near Kendall Square,East Cambridge,,,
Porter Square Books,1815 Massachusetts Ave.,Porter Square,Cambridge,,,
Porter Station,1899 Massachusetts Ave.,Porter Square,Cambridge ,,,
Portico Brewing,101 South St.,"Boynton Yards, Ward 2",Somerville,,,
Precinct,70 Union Square,,Somerville,,,
Prospect Hill Park,68 Munroe St.,,Somerville ,,,
Q Ballroom,26 New St.,near Fresh Pond in Neighborhood 9,Cambridge,,,
Radcliffe Yard,between Brattle and Garden streets west of Harvard Square,,Cambridge ,,,
Raymond Park,106 Raymond St.,Neighborhood 9,Cambridge ,,,
Redbones,55 Chester St.,Davis Square,Somerville,,,
Regattabar,1 Bennett St.,Harvard Square,Cambridge,,,
Remnant Brewing,2 Bow St.,Union Square,Somerville,,,
Remnant Satellite,877 Cambridge St.,Wellington-Harrington,Cambridge,,,
Reservoir Church,170 Rindge Ave.,,North Cambridge,,,
Rev. Thomas J. Williams Park,at Dudley and Cedar streets,,North Cambridge,,,
Rindge Field,105 Pemberton St.,,North Cambridge,,,
Riverbend Park (Memorial Drive between JFK Street and Western Avenue) along the banks of the Charles,,,Cambridge ,,,
Riverside Press Park,2 Blackstone St.,Riverside,Cambridge ,,,
The Rockwell,255 Elm St.,Davis Square,Somerville,,,
Row Hotel,360 Foley St.,Assembly Square,Somerville ,,,
Royal Sonesta Hotel,40 Edwin H. Land Blvd.,East Cambridge,,,,
Rumba and Timbal Studio,7 Temple St.,Central Square,Cambridge ,,,
Sally O’Brien’s,335 Somerville Ave.,Union Square,Somerville,,,
Saloon,255 Elm St.,Davis Square,Somerville,,,
Sanders Theatre,45 Quincy St.,near Harvard Square,Cambridge ,,,
Harvard’s Science Center Plaza between Harvard Yard at Kirkland and Oxford streets,near Harvard Square,,Cambridge ,,,
Sennott Park (Broadway at Norfolk Street,near Central Square,,Cambridge,,,
Seven Hills Park,Davis Square,,Somerville,,,
Shed at CX,100 N. First St.,North Point,Cambridge ,,,
Side Quest Books & Games,1 Bow Market Way,Union Square,Somerville,,,
Massachusetts Institute of Technology’s Building W79 also known as Simmons Hall,at 229 Vassar St.,Area II,Cambridge ,,,
Simoni Ice Rink,155 Gore St.,East Cambridge,,,,
Sinclair,52 Church St.,Harvard Square,Cambridge ,,,
Smith Campus Center,1350 Massachusetts Ave.,Harvard Square,Cambridge ,,,
SomArt at the Hive,561 Windsor Place,Ward 2,Somerville ,,,
Somernova,21 Properzi Way,in Ward 2,Somerville,,,
Somerville Brewing,15 Ward St.,,East Somerville,,,
Somerville City Hall,93 Highland Ave.,Central Hill,Somerville,,,
Somerville City Hall Annex,50 Evergreen Ave.,Winter Hill,Somerville,,,
Somerville Community Growing Center,22 Vinal Ave.,near Union Square,Somerville,,,
Somerville High School,81 Highland Ave.,Central Hill,Somerville,,,
Somerville Media Center,29 Properzi Way,Ward 2,Somerville,,,
Somerville Museum,1 Westwood Road, Spring Hill neighborhood,Somerville,,,
Somerville Public Library,79 Highland Ave.,Central Hill,Somerville,,,
Somerville Public Library East Branch,115 Broadway.,,Somerville,,,
Somerville Public Library West Branch,40 College Ave.,near Davis Square,Somerville,,,
Somerville Theatre,55 Davis Square,,Somerville,,,
Somerville Theatre’s Crystal Ballroom,55 Davis Square,,Somerville,,,
